time stamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,speed,latitude,longitude
2994.810695,-0.19,-0.68,0.38,-0.51,0.0,-0.12,,, 
2995.010549,0.05,-0.86,0.12,-0.35,0.19,-0.06,,, 
2995.208655,0.05,-0.56,0.31,0.3,-0.26,0.09,10.09,30.700954897357803, 76.82501865558031
2995.40843,-0.01,-1.13,0.57,-0.32,0.4,-0.18,,, 
2995.60649,0.27,-1.11,0.37,-0.27,-0.04,-0.11,,, 
2995.806249,0.03,-1.18,0.14,0.22,0.09,-0.02,,, 
2996.004345,0.65,-0.89,0.53,-0.03,0.47,-0.09,,, 
2996.204116,0.18,-1.23,0.22,0.08,-0.26,0.06,10.01,30.70099630395947, 76.82511261671486
2996.402184,-0.31,-0.99,0.51,0.87,-0.05,0.1,,, 
2996.601938,-0.37,-1.18,0.24,0.08,-0.23,0.06,,, 
2996.800025,0.44,-1.32,0.07,-0.91,0.25,-0.38,,, 
2996.999802,0.54,-0.78,-0.14,0.27,0.15,-0.01,,, 
2997.197918,-0.02,-0.78,-0.06,0.76,0.57,0.01,9.27,30.701041985331756, 76.82519475936594
2997.397702,0.13,-1.18,0.17,0.18,0.51,-0.02,,, 
2997.595789,-0.25,-0.87,0.42,0.41,-0.43,0.1,,, 
2997.795581,0.66,-1.46,0.25,0.65,0.3,0.08,,, 
2997.993676,-0.6,-0.72,0.77,0.56,0.36,0.19,,, 
2998.193431,-0.12,-1.05,0.0,-0.16,0.27,-0.12,8.69,30.701084816856962, 76.82528100914958
2998.391493,0.0,-0.45,-0.05,-0.01,0.69,-0.33,,, 
2998.591255,0.31,-0.75,0.36,-0.25,-0.44,0.17,,, 
2998.789375,0.54,-0.91,0.21,0.3,-0.32,0.08,,, 
2998.989159,0.28,-0.54,0.43,-0.12,-0.05,0.07,,, 
2999.18725,0.12,-1.02,0.8,-0.67,-0.59,-0.11,7.88,30.701131965062302, 76.8253468909085
2999.387034,0.6,-1.09,0.39,-0.47,-0.48,0.08,,, 
2999.585128,0.27,-0.94,0.07,-0.63,-0.63,0.21,,, 
2999.784917,0.27,-0.37,0.69,-0.47,-0.64,0.21,,, 
2999.983022,0.88,-1.11,0.35,-0.67,-1.13,0.07,,, 
3000.182796,0.68,-1.27,0.61,-1.27,-1.12,0.13,8.17,30.701163271470648, 76.82540514513555
3000.38085,0.62,-1.29,0.65,-0.16,-0.4,0.08,,, 
3000.580609,-0.05,-0.65,0.56,0.07,0.31,-0.04,,, 
3000.778719,-0.28,-0.91,0.45,0.22,-0.02,-0.01,,, 
3000.978507,0.18,-0.87,0.33,-0.15,-0.36,-0.06,,, 
3001.176591,0.14,-1.24,0.16,-0.91,-0.31,0.02,8.4,30.701216999469978, 76.82547655895057
3001.376399,0.2,-1.31,0.45,-0.54,-0.33,-0.11,,, 
3001.574486,0.34,-1.19,0.0,0.13,-0.45,0.18,,, 
3001.774263,0.24,-0.77,0.37,0.09,-0.21,0.02,,, 
3001.972343,0.18,-0.45,-0.02,-0.04,0.27,-0.0,,, 
3002.172094,-0.4,-0.7,0.46,0.39,0.25,-0.02,8.24,30.701270476012212, 76.82553808211985
3002.370178,-0.12,-0.61,0.38,0.33,0.07,0.03,,, 
3002.569991,-0.05,-0.7,0.35,0.02,-0.07,-0.0,,, 
3002.768105,-0.02,-0.81,0.25,0.03,0.27,-0.07,,, 
3002.967885,-0.16,-0.96,0.35,0.39,-0.14,0.01,,, 
3003.165966,0.15,-0.65,0.72,0.36,0.19,-0.04,8.04,30.70131783376513, 76.82559935383203
3003.365767,0.05,-0.64,0.23,0.47,0.66,-0.09,,, 
3003.563845,0.07,-0.98,0.45,1.02,0.36,0.01,,, 
3003.763631,0.12,-0.75,0.44,-0.12,0.34,-0.12,,, 
3003.961677,-0.25,-1.18,0.46,-0.28,-0.24,0.06,,, 
3004.161457,-0.23,-1.36,0.84,-0.2,-0.03,0.05,7.53,30.701363012223226, 76.8256581947923
3004.359555,-0.1,-1.65,0.53,0.21,-0.34,0.21,,, 
3004.559352,0.26,-1.24,0.15,-0.95,-0.22,-0.06,,, 
3004.757415,-0.08,-1.1,0.54,-1.18,-0.49,0.03,,, 
3004.957226,0.06,-1.15,0.28,-0.64,-0.39,0.07,,, 
3005.155279,-0.1,-0.89,0.32,-0.42,-0.07,-0.03,7.64,30.701413010275644, 76.8257218972564
3005.355016,-0.05,-0.95,0.26,-0.29,-0.26,-0.02,,, 
3005.553072,0.1,-0.88,0.41,-0.26,-0.26,-0.09,,, 
3005.752824,0.24,-0.44,0.36,-0.58,-0.24,-0.07,,, 
3005.950874,-0.24,-0.62,0.03,-0.23,-0.35,0.02,,, 
3006.150621,0.23,-0.69,0.4,0.15,0.39,-0.1,7.36,30.70145647044359, 76.82577813982668
3006.348676,0.31,-0.77,0.51,0.06,-0.07,-0.03,,, 
3006.548419,-0.12,-0.88,0.56,0.06,-0.17,0.1,,, 
3006.746474,0.01,-0.89,0.33,-0.13,0.13,-0.07,,, 
3006.946304,0.05,-0.74,0.35,-0.03,-0.19,0.07,,, 
3007.144376,-0.19,-1.04,0.49,-0.06,-0.11,-0.07,6.98,30.70150148126362, 76.82583572350147
3007.344217,0.1,-0.84,0.54,0.13,0.14,0.03,,, 
3007.542302,0.32,-0.88,0.55,0.01,0.2,-0.12,,, 
3007.742071,0.28,-0.79,0.47,0.06,0.34,0.01,,, 
3007.940143,0.16,-1.02,0.57,-0.49,-0.16,-0.05,,, 
3008.139914,-0.16,-0.42,0.34,-0.31,-0.18,0.06,6.72,30.701546533993167, 76.82588182396891
3008.337979,-0.41,-0.82,0.5,0.45,-0.38,0.01,,, 
3008.537784,-0.3,-1.1,0.19,0.35,0.05,-0.05,,, 
3008.735871,0.05,-1.06,0.3,0.22,0.07,0.03,,, 
3008.935665,0.01,-1.04,0.32,0.0,-0.08,-0.05,,, 
3009.133803,-0.05,-0.84,0.34,-0.01,-0.07,0.08,7.26,30.701606841786486, 76.82594669989946
3009.333603,-0.15,-0.81,0.44,-0.2,0.08,-0.04,,, 
3009.531692,0.12,-0.94,0.46,0.12,-0.21,-0.03,,, 
3009.731485,-0.05,-0.94,0.18,-0.25,-0.02,-0.03,,, 
3009.92959,-0.05,-0.81,0.42,0.28,-0.04,0.18,,, 
3010.129361,0.07,-1.03,0.66,0.03,0.4,-0.14,7.36,30.70165474436311, 76.82600185282233
3010.327472,0.46,-1.22,0.38,-0.06,-0.01,0.09,,, 
3010.527276,0.2,-0.88,0.43,,,,,, 
3010.725389,-0.06,-0.96,0.51,0.22,-0.03,0.08,,, 
3010.925186,0.08,-1.24,0.45,,,,,, 
3011.1233,0.22,-0.94,0.68,0.05,0.03,-0.09,7.46,30.70169644433139, 76.82605993941131
3011.323097,-0.04,-0.93,0.58,,,,,, 
3011.521193,0.04,-0.88,0.73,0.01,0.15,-0.17,,, 
3011.721004,-0.2,-1.1,0.47,-0.04,0.01,-0.03,,, 
3011.919131,0.02,-0.94,0.53,-0.53,-0.28,-0.13,,, 
3012.118945,-0.1,-0.67,0.32,-0.15,-0.44,0.09,7.92,30.701741287513357, 76.82611827745738
3012.317052,-0.13,-0.9,0.67,0.18,0.05,0.09,,, 
3012.516882,-0.18,-0.52,0.2,0.01,0.2,-0.11,,, 
3012.714972,-0.31,-0.79,0.61,0.79,0.66,-0.19,,, 
3012.914795,-0.71,-0.65,0.48,0.81,0.6,-0.13,,, 
3013.11292,-0.45,-0.8,0.23,0.47,0.51,-0.11,7.71,30.701788938632887, 76.82617703459862
3013.312728,-0.1,-1.46,0.47,-0.17,0.41,-0.19,,, 
3013.510821,0.2,-1.29,0.49,-0.35,0.01,-0.05,,, 
3013.710652,0.11,-1.07,0.62,0.14,0.03,0.04,,, 
3013.908747,0.18,-1.18,0.49,-0.14,0.09,-0.08,,, 
3014.108558,-0.06,-1.2,0.51,0.1,0.42,0.04,7.6,30.701829465134722, 76.8262311816931
3014.30669,-0.06,-1.15,0.55,0.05,0.44,-0.21,,, 
3014.50648,0.11,-0.97,0.45,-0.14,-0.01,-0.06,,, 
3014.704601,0.04,-0.97,0.23,0.18,-0.07,-0.05,,, 
3014.90441,0.04,-0.92,0.51,-0.03,-0.07,0.02,,, 
3015.102502,0.07,-0.91,0.57,-0.24,-0.02,-0.03,8.01,30.701869069627207, 76.82628759190145
3015.302322,0.05,-1.06,0.39,-0.35,-0.11,0.03,,, 
3015.500458,-0.05,-0.91,0.52,-0.2,0.02,-0.03,,, 
3015.700291,-0.07,-0.9,0.52,-0.26,-0.22,-0.13,,, 
3015.898404,0.16,-1.06,0.35,-2.85,-1.59,0.21,,, 
3016.098216,-0.1,-0.99,0.19,-0.1,0.15,-0.14,8.49,30.701923719635886, 76.82635204873684
3016.296349,0.04,-1.06,0.27,0.09,0.17,-0.01,,, 
3016.496218,0.03,-1.21,0.15,0.23,0.35,0.05,,, 
3016.694373,0.13,-1.15,0.28,0.29,-0.18,-0.06,,, 
3016.894192,-0.01,-0.92,-0.61,-0.05,0.18,0.13,,, 
3017.092315,0.16,-0.96,0.23,-0.4,0.06,-0.2,8.8,30.701965922518355, 76.82641910396221
3017.292184,-0.01,-0.86,0.06,0.29,-0.07,0.08,,, 
3017.490371,0.07,-0.95,0.27,0.41,-0.04,0.02,,, 
3017.690208,-0.06,-1.11,-0.01,-0.11,0.01,-0.14,,, 
3017.888397,0.13,-0.87,0.14,0.5,0.12,-0.05,,, 
3018.088211,-0.15,-0.65,0.17,-0.07,0.03,-0.01,8.6,30.70200959223388, 76.82648682973984
3018.286374,0.27,-1.16,-0.01,-0.21,-0.08,-0.01,,, 
3018.486247,0.33,-0.89,-0.14,0.31,0.08,-0.09,,, 
3018.684377,0.14,-1.12,0.21,0.07,-0.31,-0.04,,, 
3018.884237,0.14,-0.79,-0.09,0.54,0.22,0.13,,, 
3019.082401,0.08,-1.21,-0.17,-0.36,-0.31,0.07,7.84,30.702064158423525, 76.82655363350811
3019.282297,-0.21,-0.72,0.34,0.09,0.29,-0.01,,, 
3019.480484,0.13,-0.88,0.03,0.04,-0.04,0.05,,, 
3019.68032,-0.06,-0.7,-0.04,0.24,-0.04,-0.1,,, 
3019.878468,0.05,-0.67,-0.17,-0.41,-0.27,0.19,,, 
3020.078294,0.23,-1.49,0.05,-0.72,-0.36,0.15,,, 
3020.27642,-0.03,-1.01,-0.02,0.48,-0.11,-0.06,7.87,30.702114617480618, 76.82661616250577
3020.476339,0.07,-0.87,-0.09,-0.13,-0.29,-0.01,,, 
3020.674476,-0.14,-0.93,-0.22,-0.11,0.07,-0.07,,, 
3020.874332,0.19,-1.0,-0.38,-0.23,0.01,0.01,,, 
3021.072503,-0.07,-1.43,-0.09,-0.37,-0.3,0.13,,, 
3021.272352,0.21,-1.36,-0.46,0.28,0.05,-0.03,6.63,30.702148522278947, 76.82666519663933
3021.470526,0.03,-1.11,-0.26,0.3,0.11,-0.04,,, 
3021.670406,0.04,-1.07,-0.18,0.3,-0.13,-0.1,,, 
3021.868611,-0.16,-0.6,-0.0,-0.0,-0.23,-0.15,,, 
3022.068469,0.05,-0.82,-0.24,-0.23,-0.18,0.03,4.4,30.702176392106992, 76.82670869871679
3022.266618,0.11,-1.02,-0.08,-0.27,-0.18,-0.02,,, 
3022.466507,-0.13,-1.0,-0.19,-0.19,-0.12,0.03,,, 
3022.664699,0.18,-1.24,-0.08,0.01,0.03,-0.01,,, 
3022.864569,0.19,-1.08,-0.0,0.13,-0.01,0.03,,, 
3023.062754,-0.05,-0.97,0.14,-0.09,-0.15,-0.03,2.89,30.702205309672934, 76.82673845447304
3023.262661,-0.03,-0.98,0.19,0.08,0.01,0.04,,, 
3023.460799,0.04,-0.9,0.18,-0.03,0.0,0.07,,, 
3023.660623,-0.16,-0.76,0.17,-0.3,-0.14,0.09,,, 
3023.858852,-0.05,-0.81,-0.15,-0.35,-0.03,0.22,,, 
3024.058764,-0.24,-1.26,-0.2,0.02,-0.32,-0.15,3.15,30.702228192268592, 76.82677038952413
3024.256962,0.43,-1.02,0.23,-0.35,0.3,0.34,,, 
3024.456816,0.33,-1.12,-0.1,0.16,0.08,0.08,,, 
3024.65497,0.05,-1.14,-0.21,0.46,0.05,0.15,,, 
3024.854885,-0.23,-1.12,0.29,-0.34,0.04,-0.23,,, 
3025.053062,0.1,-1.18,-0.06,0.12,0.01,-0.04,,, 
3025.252902,0.09,-1.05,0.1,0.29,0.07,0.07,2.95,30.702244830346388, 76.82679922327104
3025.451079,-0.01,-1.07,0.11,0.05,0.01,-0.09,,, 
3025.650976,0.02,-1.08,0.07,0.05,0.05,-0.02,,, 
3025.849155,0.0,-1.11,0.3,0.11,0.13,-0.02,,, 
3026.049008,0.01,-0.92,0.19,-0.01,-0.0,0.12,,, 
3026.247157,0.0,-0.81,0.07,-0.04,-0.11,-0.04,3.46,30.702257696567756, 76.82682914666536
3026.447064,0.0,-0.95,0.16,0.03,-0.01,-0.07,,, 
3026.645237,-0.05,-0.86,0.25,-0.27,-0.05,0.14,,, 
3026.845091,-0.08,-0.87,0.06,-0.14,-0.24,0.0,,, 
3027.04327,-0.07,-0.94,0.16,-0.16,0.04,-0.01,4.53,30.702271191431862, 76.82686443447771
3027.243163,0.03,-1.07,0.11,-0.07,0.02,0.11,,, 
3027.441313,0.21,-1.21,-0.01,0.07,-0.06,-0.15,,, 
3027.64116,0.11,-1.26,-0.01,0.03,0.03,-0.1,,, 
3027.839298,0.22,-1.27,0.22,-0.23,0.08,-0.1,,, 
3028.039143,-0.1,-0.99,0.06,-0.14,-0.14,-0.06,,, 
3028.237337,-0.04,-1.21,0.35,-0.05,-0.23,0.02,5.57,30.702299564174098, 76.82691313333514
3028.437225,-0.22,-0.78,0.11,-0.31,-0.4,-0.06,,, 
3028.635399,-0.29,-1.02,0.35,-0.23,0.04,-0.17,,, 
3028.835312,-0.01,-0.83,0.07,0.09,-0.2,-0.03,,, 
3029.033526,-0.17,-1.07,0.28,-0.08,-0.22,0.08,,, 
3029.233421,0.09,-1.1,0.06,-0.29,-0.23,0.08,6.15,30.70232613480715, 76.82696820243898
3029.431647,-0.08,-0.93,0.11,-0.36,-0.28,0.09,,, 
3029.63152,-0.18,-0.98,0.14,-0.21,-0.3,0.08,,, 
3029.82969,-0.07,-0.85,0.15,0.04,-0.27,-0.04,,, 
3030.029567,0.13,-1.06,0.2,-0.02,-0.25,0.34,,, 
3030.227747,-0.1,-1.09,0.33,-0.19,0.0,0.08,6.99,30.70235224443553, 76.82703123435083
3030.427627,-0.08,-0.99,0.17,-0.52,0.11,-0.01,,, 
3030.625801,0.13,-1.35,-0.25,0.24,-0.38,-0.1,,, 
3030.825714,0.1,-1.23,-0.15,-0.1,-0.33,0.14,,, 
3031.023892,0.03,-1.06,0.08,-0.17,-0.25,-0.07,,, 
3031.223759,0.12,-0.93,0.04,0.02,-0.18,-0.02,6.69,30.702373953564745, 76.82709443390074
